name,fuel,seller_type,transmission,owner
Honda Amaze EX i-Dtech,Diesel,Dealer,Manual,First Owner
Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner
Tata Indica GLS BS IV,Petrol,Individual,Manual,Second Owner
Hyundai EON Era Plus,Petrol,Individual,Manual,First Owner
Honda City i DTec SV,Diesel,Dealer,Manual,First Owner
Maruti Swift LXI,Petrol,Individual,Manual,First Owner
Hyundai i10 Sportz 1.2,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,Petrol,Dealer,Manual,Second Owner
Maruti Zen LXI,Petrol,Individual,Manual,First Owner
Honda WR-V i-VTEC VX,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,Petrol,Individual,Manual,First Owner
Toyota Fortuner 2.8 2WD AT BSIV,Diesel,Individual,Automatic,First Owner
Toyota Innova Crysta 2.4 ZX MT,Diesel,Dealer,Manual,First Owner
Volkswagen Polo 1.5 TDI Trendline,Diesel,Dealer,Manual,First Owner
Mahindra Verito Vibe 1.5 dCi D4,Diesel,Individual,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 7 Seater,Diesel,Dealer,Manual,First Owner
Volkswagen Vento Magnific 1.6 Highline,Petrol,Dealer,Manual,First Owner
Maruti Swift VDI,Diesel,Individual,Manual,First Owner
Hyundai Verna 1.6 VTVT AT S Option,Petrol,Individual,Automatic,First Owner
Maruti Swift Dzire LDI,Diesel,Individual,Manual,First Owner
Tata New Safari DICOR 2.2 GX 4x2,Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIV,Petrol,Individual,Manual,First Owner
Maruti Celerio VXI AT,Petrol,Individual,Automatic,First Owner
Maruti SX4 ZDI,Diesel,Individual,Manual,Third Owner
Mahindra XUV500 W8 2WD,Diesel,Individual,Manual,Second Owner
Hyundai Verna 1.6 SX VTVT (O),Petrol,Individual,Manual,Second Owner
Maruti Swift Dzire VDI,Diesel,Individual,Manual,Second Owner
Fiat Grande Punto 1.3 Dynamic (Diesel),Diesel,Individual,Manual,Second Owner
Maruti SX4 Vxi BSIV,Petrol,Individual,Manual,Second Owner
Maruti Swift VDI BSIV,Diesel,Individual,Manual,Second Owner
Maruti Wagon R Stingray VXI,Petrol,Individual,Manual,First Owner
Toyota Etios Liva 1.4 VD,Diesel,Dealer,Manual,First Owner
Hyundai Xcent 1.2 Kappa SX,Petrol,Individual,Manual,First Owner
Honda Amaze VX O iDTEC,Diesel,Dealer,Manual,First Owner
Maruti Ciaz 1.4 AT Zeta,Petrol,Individual,Automatic,First Owner
Mahindra Scorpio S4 4WD,Diesel,Individual,Manual,First Owner
Mahindra Quanto C8,Diesel,Individual,Manual,Second Owner
Hyundai Verna CRDi 1.6 SX Option,Diesel,Dealer,Manual,First Owner
Maruti Swift 1.3 VXI ABS,Petrol,Dealer,Manual,First Owner
Maruti Wagon R LXI,Petrol,Dealer,Manual,First Owner
Ford Ecosport 1.0 Ecoboost Titanium Optional,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 2WD,Diesel,Dealer,Manual,First Owner
Maruti Wagon R LXI,Petrol,Dealer,Manual,First Owner
Renault KWID Climber 1.0 AMT BSIV,Petrol,Dealer,Automatic,First Owner
Maruti Swift Dzire VDI,Diesel,Dealer,Manual,First Owner
Renault KWID RXL BSIV,Petrol,Dealer,Manual,First Owner
Hyundai EON 1.0 Era Plus,Petrol,Dealer,Manual,First Owner
Maruti Wagon R AMT VXI,Petrol,Dealer,Automatic,First Owner
Mahindra Bolero Power Plus SLX,Diesel,Individual,Manual,Second Owner
Mahindra XUV500 W8 2WD,Diesel,Dealer,Manual,First Owner
Toyota Innova 2.5 G (Diesel) 8 Seater,Diesel,Dealer,Manual,First Owner
Maruti Ertiga VXI,Petrol,Individual,Manual,First Owner
Toyota Innova 2.5 G4 Diesel 8-seater,Diesel,Individual,Manual,Second Owner
Maruti Alto 800 VXI,Petrol,Individual,Manual,First Owner
Mahindra Scorpio 1.99 S10,Diesel,Individual,Manual,Second Owner
Mahindra KUV 100 G80 K2,Petrol,Individual,Manual,First Owner
Hyundai i20 1.4 Asta Option,Diesel,Individual,Manual,First Owner
Chevrolet Spark 1.0,Petrol,Individual,Manual,Third Owner
Renault KWID RXL,Petrol,Individual,Manual,Third Owner
Maruti Ertiga ZDI,Diesel,Individual,Manual,Fourth & Above Owner
Maruti Celerio ZXI Optional AMT BSIV,Petrol,Individual,Automatic,First Owner
Fiat Palio D 1.9 EL PS,Diesel,Individual,Manual,Second Owner
Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner
Hyundai Verna 1.6 CRDI,Diesel,Individual,Manual,Third Owner
Fiat Linea Classic 1.3 Multijet,Diesel,Individual,Manual,First Owner
Maruti Alto 800 CNG LXI,CNG,Individual,Manual,Second Owner
Hyundai Grand i10 Sportz,Petrol,Individual,Manual,Second Owner
Maruti Swift Dzire VXi,Petrol,Individual,Manual,Third Owner
Tata Indigo CR4,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S11 BSIV,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,Petrol,Individual,Manual,First Owner
Honda Brio 1.2 S MT,Petrol,Individual,Manual,First Owner
Tata Nano Lx,Petrol,Individual,Manual,First Owner
Tata Nano Lx,Petrol,Individual,Manual,First Owner
Ford Figo Petrol Titanium,Petrol,Individual,Manual,First Owner
Tata Zest Revotron 1.2T XE,Petrol,Individual,Manual,First Owner
Hyundai Creta 1.4 CRDi Base,Diesel,Individual,Manual,First Owner
Mercedes-Benz M-Class ML 350 CDI,Diesel,Individual,Automatic,Second Owner
Hyundai Verna 1.6 SX CRDi (O),Diesel,Individual,Manual,Second Owner
Toyota Innova Crysta 2.4 GX MT 8S BSIV,Diesel,Individual,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,Petrol,Individual,Manual,First Owner
Maruti Ertiga VXI,Petrol,Individual,Manual,First Owner
Tata New Safari DICOR 2.2 EX 4x4,Diesel,Individual,Manual,Second Owner
Mahindra Marazzo M4,Diesel,Individual,Manual,Second Owner
Toyota Etios Cross 1.2L G,Petrol,Individual,Manual,First Owner
Renault Duster 110PS Diesel RxZ,Diesel,Individual,Manual,First Owner
Mahindra KUV 100 mFALCON D75 K8 AW,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire VXI,Petrol,Individual,Manual,First Owner
Maruti Omni MPI STD BSIV,Petrol,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi (Diesel),Diesel,Individual,Manual,Second Owner
Toyota Innova 2.0 GX 8 STR BSIV,Petrol,Individual,Manual,Second Owner
Maruti Zen LXI,Petrol,Individual,Manual,Second Owner
Hyundai Santro LP zipPlus,Petrol,Individual,Manual,Third Owner
Tata Hexa XTA,Diesel,Individual,Automatic,First Owner
Hyundai Verna 1.6 SX VTVT AT,Petrol,Individual,Automatic,Third Owner
Maruti Swift Dzire VXI 1.2 BS IV,Petrol,Individual,Manual,First Owner
Maruti SX4 ZDI Leather,Diesel,Individual,Manual,Second Owner
Tata Nano LX,Petrol,Individual,Manual,First Owner
Maruti Ignis 1.2 Alpha BSIV,Petrol,Individual,Manual,First Owner
Honda Mobilio V i VTEC,Petrol,Individual,Manual,First Owner
Hyundai Getz 1.3 GVS,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GL Plus,Petrol,Individual,Manual,First Owner
Ford Fiesta Titanium 1.5 TDCi,Diesel,Individual,Manual,Second Owner
Maruti Swift Dzire LDI,Diesel,Individual,Manual,First Owner
Hyundai Accent GLE CNG,CNG,Individual,Manual,Third Owner
Maruti Zen Estilo LXI BSIII,Petrol,Individual,Manual,Third Owner
Maruti Swift Dzire LDI,Diesel,Individual,Manual,Second Owner
Hyundai i20 1.2 Spotz,Petrol,Individual,Manual,First Owner
Tata Tigor 1.2 Revotron XM,Petrol,Individual,Manual,First Owner
Hyundai i10 Magna 1.1,Petrol,Individual,Manual,Third Owner
Hyundai Santro Xing GLS,Petrol,Individual,Manual,First Owner
Nissan Sunny Diesel XV,Diesel,Individual,Manual,First Owner
Hyundai i20 1.2 Spotz,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing GLS,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,Diesel,Individual,Manual,First Owner
Maruti Alto 800 LXI,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 2WD,Diesel,Individual,Manual,Second Owner
Tata Nano Std,Petrol,Individual,Manual,First Owner
Chevrolet Tavera LT L1 7 Seats BSIII,Diesel,Individual,Manual,Third Owner
Mahindra Verito 1.5 D2 BSIV,Diesel,Individual,Manual,Second Owner
Maruti Swift VDI,Diesel,Individual,Manual,Second Owner
Maruti Alto LX,Petrol,Individual,Manual,Second Owner
Hyundai EON D Lite,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,Petrol,Individual,Manual,Second Owner
Toyota Innova 2.5 GX (Diesel) 7 Seater,Diesel,Individual,Manual,First Owner
Nissan Terrano XV Premium 110 PS,Diesel,Individual,Manual,First Owner
Maruti Baleno Alpha 1.3,Diesel,Individual,Manual,First Owner
Nissan Sunny XV D Premium Leather,Diesel,Individual,Manual,First Owner
Toyota Etios Liva GD,Diesel,Individual,Manual,First Owner
Hyundai EON 1.0 Era Plus,Petrol,Individual,Manual,First Owner
Renault KWID 1.0 RXT Optional,Petrol,Individual,Manual,First Owner
Mahindra Bolero 2011-2019 SLX,Diesel,Individual,Manual,First Owner
Hyundai i10 Sportz 1.2,Petrol,Individual,Manual,Second Owner
Hyundai Santro Xing XG eRLX Euro III,Petrol,Individual,Manual,Second Owner
Maruti Wagon R LXI BS IV,Petrol,Individual,Manual,First Owner
Maruti Alto 800 LXI,Petrol,Individual,Manual,Second Owner
Toyota Etios Liva GD,Diesel,Individual,Manual,Second Owner
Renault Duster 85PS Diesel RxL,Diesel,Dealer,Manual,Second Owner
Mercedes-Benz C-Class Progressive C 220d,Diesel,Dealer,Automatic,First Owner
Audi A4 3.0 TDI Quattro,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,Diesel,Dealer,Automatic,First Owner
Hyundai Creta 1.6 CRDi SX,Diesel,Individual,Manual,First Owner
Maruti SX4 Vxi BSIV,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 1.2 Kappa Magna AT,Petrol,Dealer,Automatic,First Owner
Maruti Swift ZXI BSIV,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Ertiga VXI,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Grand i10 Magna AT,Petrol,Dealer,Automatic,First Owner
Chevrolet Beat LT Option,Petrol,Dealer,Manual,First Owner
Toyota Fortuner 4x2 AT,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti S-Cross Zeta DDiS 200 SH,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai i10 Magna,Petrol,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,Diesel,Dealer,Automatic,First Owner
Hyundai Santro GS,Petrol,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.6 VTVT SX,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Swift Dzire VDI,Diesel,Trustmark Dealer,Manual,First Owner
Renault Duster 85PS Diesel RxL,Diesel,Dealer,Manual,Second Owner
Mercedes-Benz C-Class Progressive C 220d,Diesel,Dealer,Automatic,First Owner
Audi A4 3.0 TDI Quattro,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,Diesel,Dealer,Automatic,First Owner
Hyundai Creta 1.6 CRDi SX,Diesel,Individual,Manual,First Owner
Maruti SX4 Vxi BSIV,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 1.2 Kappa Magna AT,Petrol,Dealer,Automatic,First Owner
Maruti Swift ZXI BSIV,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Ertiga VXI,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Grand i10 Magna AT,Petrol,Dealer,Automatic,First Owner
Chevrolet Beat LT Option,Petrol,Dealer,Manual,First Owner
Toyota Fortuner 4x2 AT,Diesel,Trustmark Dealer,Automatic,First Owner
Maruti S-Cross Zeta DDiS 200 SH,Diesel,Trustmark Dealer,Manual,First Owner
Hyundai i10 Magna,Petrol,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,Diesel,Dealer,Automatic,First Owner
Hyundai Santro GS,Petrol,Dealer,Manual,First Owner
Skoda Laura Ambiente 2.0 TDI CR MT,Diesel,Dealer,Manual,First Owner
Hyundai Verna 1.6 VTVT SX,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Swift Dzire VDI,Diesel,Trustmark Dealer,Manual,First Owner
Volkswagen Jetta 2.0L TDI Highline AT,Diesel,Dealer,Automatic,First Owner
Tata Indica Vista Quadrajet 90 VX,Diesel,Dealer,Manual,First Owner
Honda City VX MT,Petrol,Dealer,Manual,First Owner
Volkswagen Jetta 1.9 Highline TDI,Diesel,Dealer,Automatic,First Owner
Volkswagen Vento 1.5 TDI Highline Plus AT,Diesel,Dealer,Automatic,First Owner
Honda Jazz VX,Petrol,Dealer,Manual,First Owner
Maruti Eeco 5 Seater AC BSIV,Petrol,Dealer,Manual,First Owner
Maruti Wagon R VXI AMT1.2BSIV,Petrol,Dealer,Automatic,First Owner
Hyundai Grand i10 Asta,Petrol,Dealer,Manual,First Owner
Volkswagen Polo 1.0 MPI Trendline,Petrol,Dealer,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Option,Diesel,Dealer,Manual,First Owner
Hyundai Grand i10 Asta Option,Petrol,Dealer,Manual,First Owner
Hyundai EON Era Plus,Petrol,Dealer,Manual,First Owner
Hyundai Xcent 1.1 CRDi SX Option,Diesel,Dealer,Manual,First Owner
Tata Nano Lx BSIV,Petrol,Dealer,Manual,First Owner
Toyota Etios Cross 1.2L G,Petrol,Dealer,Manual,First Owner
Maruti Swift DDiS LDI,Diesel,Dealer,Manual,First Owner
Hyundai i10 Sportz 1.2 AT,Petrol,Dealer,Automatic,First Owner
Volkswagen Vento 1.5 TDI Comfortline,Diesel,Dealer,Manual,First Owner
Skoda Rapid 1.5 TDI AT Ambition,Diesel,Dealer,Automatic,First Owner
Hyundai Getz GLE,Petrol,Individual,Manual,Fourth & Above Owner
Renault KWID RXT Optional,Petrol,Individual,Manual,First Owner
Mahindra Scorpio M2DI,Diesel,Individual,Manual,Fourth & Above Owner
Ford Endeavour XLT TDCi 4X2,Diesel,Individual,Manual,Second Owner
Audi Q3 35 TDI Quattro Technology,Diesel,Individual,Automatic,First Owner
Mahindra Renault Logan 1.4 GLX Petrol,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,Petrol,Individual,Manual,First Owner
Maruti Swift VDI BSIV,Diesel,Individual,Manual,First Owner
Audi A5 Sportback,Diesel,Individual,Automatic,First Owner
Maruti Swift Dzire VDI,Diesel,Individual,Manual,First Owner
Chevrolet Sail Hatchback 1.3 TCDi LT ABS,Diesel,Individual,Manual,First Owner
Hyundai Accent CRDi,Diesel,Individual,Manual,Second Owner
Maruti Alto K10 VXI Airbag,Petrol,Individual,Manual,First Owner
BMW 7 Series Signature 730Ld,Diesel,Individual,Automatic,First Owner
Toyota Camry 2.5 Hybrid,Petrol,Individual,Automatic,First Owner
Hyundai Santro Xing XG,Petrol,Individual,Manual,Second Owner
Hyundai Grand i10 CRDi Sportz,Diesel,Individual,Manual,First Owner
Mahindra XUV500 W5 BSIV,Diesel,Individual,Manual,First Owner
Maruti Alto K10 VXI,Petrol,Individual,Manual,First Owner
Mahindra XUV300 W8 Option Diesel BSIV,Diesel,Individual,Manual,First Owner
Toyota Innova Crysta 2.4 VX MT BSIV,Diesel,Individual,Manual,First Owner
Mahindra Thar CRDe,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire ZDI,Diesel,Individual,Manual,First Owner
Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner
Tata Hexa XM,Diesel,Individual,Manual,First Owner
Honda Mobilio E i DTEC,Diesel,Individual,Manual,First Owner
Maruti Ertiga ZDI,Diesel,Individual,Manual,First Owner
Maruti Ciaz ZXi Plus,Petrol,Individual,Manual,First Owner
Mahindra Scorpio LX,Diesel,Individual,Manual,Third Owner
Fiat Grande Punto EVO 1.3 Dynamic,Diesel,Individual,Manual,First Owner
Hyundai Creta 1.6 CRDi SX Option,Diesel,Individual,Manual,First Owner
Ford Endeavour Hurricane Limited Edition,Diesel,Individual,Automatic,Fourth & Above Owner
Tata Indica Vista TDI LS,Diesel,Individual,Manual,First Owner
Land Rover Discovery S 2.0 SD4,Petrol,Individual,Automatic,First Owner
Maruti Alto 800 LXI,Petrol,Individual,Manual,First Owner
Hyundai i10 Era 1.1 iTech SE,Petrol,Individual,Manual,Second Owner
Maruti Vitara Brezza VDi Option,Diesel,Individual,Manual,First Owner
Mahindra Scorpio SLE BSIV,Diesel,Individual,Manual,First Owner
Hyundai i20 Sportz Option 1.2,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing GLS,Petrol,Individual,Manual,Second Owner
Tata Indica LSI,Petrol,Individual,Manual,Second Owner
Hyundai EON Era Plus,Petrol,Individual,Manual,Third Owner
Ford Endeavour 3.0L 4X4 AT,Diesel,Individual,Automatic,Second Owner
Hyundai Santro LE zipPlus,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Asta,Petrol,Individual,Manual,First Owner
Tata Indigo CR4,Diesel,Individual,Manual,First Owner
Mahindra Scorpio S11 BSIV,Diesel,Individual,Manual,First Owner
Hyundai Creta 1.4 EX Diesel,Diesel,Individual,Manual,First Owner
Maruti Ritz LXI,Petrol,Individual,Manual,First Owner
Hyundai i20 Magna 1.2,Petrol,Individual,Manual,First Owner
Hyundai Verna CRDi 1.6 SX,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,Petrol,Individual,Manual,First Owner
Maruti Alto LX,Petrol,Individual,Manual,Second Owner
Honda Brio 1.2 S MT,Petrol,Individual,Manual,First Owner
Tata Nano Lx,Petrol,Individual,Manual,First Owner
Hyundai i20 Asta 1.4 CRDi,Diesel,Individual,Manual,First Owner
Tata Indigo LX,Diesel,Individual,Manual,Second Owner
Skoda Rapid 1.6 MPI Ambition With Alloy Wheel,Petrol,Individual,Manual,First Owner
Maruti Alto K10 VXI,Petrol,Individual,Manual,First Owner
Tata Nano Lx,Petrol,Individual,Manual,First Owner
Maruti Ciaz 1.4 Delta,Petrol,Individual,Manual,First Owner
Maruti Alto LX,Petrol,Individual,Manual,Second Owner
Ford Figo Aspire 1.2 Ti-VCT Trend,Petrol,Individual,Manual,First Owner
Mahindra XUV500 W8 4WD,Diesel,Dealer,Manual,First Owner
Mitsubishi Pajero Sport 4X4,Diesel,Dealer,Manual,Second Owner
Ford Fiesta 1.5 TDCi Titanium,Diesel,Dealer,Manual,First Owner
Mercedes-Benz C-Class Progressive C 220d,Diesel,Dealer,Automatic,First Owner
BMW 3 Series 320d Sport,Diesel,Dealer,Automatic,First Owner
BMW X5 xDrive 30d xLine,Diesel,Dealer,Automatic,First Owner
Honda City i-VTEC CVT ZX,Petrol,Trustmark Dealer,Automatic,First Owner
Chevrolet Beat Diesel LS,Diesel,Individual,Manual,First Owner
BMW 3 Series GT Luxury Line,Diesel,Individual,Automatic,First Owner
Hyundai Grand i10 1.2 Kappa Magna AT,Petrol,Dealer,Automatic,First Owner
Maruti Ertiga VXI,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Grand i10 Magna AT,Petrol,Dealer,Automatic,First Owner
Chevrolet Beat LT Option,Petrol,Dealer,Manual,First Owner
Toyota Fortuner 4x2 AT,Diesel,Trustmark Dealer,Automatic,First Owner
Hyundai i10 Magna,Petrol,Dealer,Manual,First Owner
Audi A6 2.0 TDI Premium Plus,Diesel,Dealer,Automatic,First Owner
Maruti Baleno Delta 1.2,Petrol,Trustmark Dealer,Manual,First Owner
Maruti Baleno Alpha CVT,Petrol,Trustmark Dealer,Automatic,First Owner
Hyundai i20 1.4 Magna Executive,Diesel,Dealer,Manual,First Owner
Maruti Baleno Zeta,Petrol,Trustmark Dealer,Manual,First Owner
Mahindra Verito 1.5 D4 BSIV,Diesel,Individual,Manual,First Owner
Hyundai Xcent 1.2 Kappa S,Petrol,Individual,Manual,First Owner
Honda City VTEC,Petrol,Individual,Manual,Fourth & Above Owner
Maruti Swift Dzire VDi,Diesel,Individual,Manual,Third Owner
Ford Endeavour 3.2 Titanium AT 4X4,Diesel,Individual,Automatic,First Owner
Tata Xenon XT EX 4X2,Diesel,Individual,Manual,Second Owner
Nissan Terrano XL Plus 85 PS,Diesel,Individual,Manual,Second Owner
Maruti Eeco 7 Seater Standard BSIV,Petrol,Individual,Manual,First Owner
Maruti Ertiga ZDI,Diesel,Individual,Manual,Second Owner
Ford Ecosport 1.5 DV5 MT Ambiente,Diesel,Individual,Manual,Second Owner
Skoda Laura Elegance 1.9 TDI  AT,Diesel,Individual,Automatic,Second Owner
Hyundai EON 1.0 Era Plus,Petrol,Individual,Manual,First Owner
Tata Indica GLS BS IV,Petrol,Individual,Manual,First Owner
Tata Indica DLS,Diesel,Individual,Manual,First Owner
Maruti Alto 800 LXI Airbag,Petrol,Individual,Manual,First Owner
Mahindra Bolero SLX 2WD,Diesel,Individual,Manual,Fourth & Above Owner
Mahindra Jeep MM 540,Diesel,Individual,Manual,Second Owner
Mahindra Scorpio 1.99 S10,Diesel,Individual,Manual,Second Owner
Mahindra Bolero Power Plus Plus AC BSIV PS,Diesel,Individual,Manual,Third Owner
Skoda Octavia Elegance 2.0 TDI AT,Diesel,Individual,Automatic,Third Owner
Chevrolet Beat Diesel LS,Diesel,Individual,Manual,First Owner
Honda Jazz 1.5 VX i DTEC,Diesel,Dealer,Manual,First Owner
Honda City i-VTEC ZX,Petrol,Dealer,Manual,First Owner
Maruti Swift LXI,Petrol,Individual,Manual,First Owner
Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Diesel,Individual,Automatic,First Owner
Maruti Celerio LXI MT BSIV,Petrol,Individual,Manual,First Owner
Renault Captur 1.5 Diesel RXT,Diesel,Individual,Manual,First Owner
Audi A4 30 TFSI Technology,Petrol,Individual,Automatic,First Owner
Honda Amaze VX Diesel BSIV,Diesel,Dealer,Manual,First Owner
Toyota Corolla Altis 1.8 VL AT,Petrol,Individual,Automatic,Third Owner
Honda Amaze VX Petrol BSIV,Petrol,Dealer,Manual,First Owner
Maruti Alto 800 VXI,Petrol,Individual,Manual,First Owner
Honda Amaze VX Diesel BSIV,Diesel,Dealer,Manual,First Owner
Honda Amaze VX i-VTEC,Petrol,Dealer,Manual,First Owner
Hyundai Grand i10 Asta Option,Petrol,Individual,Manual,Second Owner
Mahindra KUV 100 mFALCON G80 K2,Petrol,Individual,Manual,First Owner
Maruti Zen Estilo Sports,Petrol,Individual,Manual,First Owner
Maruti Ertiga ZDI Plus,Diesel,Individual,Manual,First Owner
Renault Lodgy 85PS RxL,Diesel,Individual,Manual,First Owner
Audi A4 3.0 TDI Quattro,Diesel,Dealer,Automatic,First Owner
Audi Q3 2.0 TDI Quattro Premium Plus,Diesel,Dealer,Automatic,First Owner
Tata Zest Revotron 1.2T XMS,Petrol,Dealer,Manual,Second Owner
Audi A6 2.0 TDI  Design Edition,Diesel,Dealer,Automatic,First Owner
Audi Q5 2.0 TFSI Quattro Premium Plus,Petrol,Dealer,Automatic,First Owner
Hyundai Santro Xing XL eRLX Euro III,Petrol,Dealer,Manual,Second Owner
Ford EcoSport 1.5 TDCi Titanium BSIV,Diesel,Dealer,Manual,First Owner
Datsun GO T Petrol,Petrol,Dealer,Manual,First Owner
Mahindra Jeep CJ 500 DI,Diesel,Dealer,Manual,First Owner
Renault Pulse RxZ,Diesel,Dealer,Manual,First Owner
Hyundai Grand i10 Magna,Petrol,Dealer,Manual,First Owner
Land Rover Discovery Sport SD4 HSE Luxury,Diesel,Dealer,Automatic,First Owner
Renault KWID 1.0 RXT Optional,Petrol,Dealer,Manual,First Owner
Maruti Baleno Alpha 1.3,Diesel,Dealer,Manual,First Owner
Volkswagen Polo 2015-2019 1.2 MPI Highline,Petrol,Dealer,Manual,First Owner
Toyota Etios VD,Diesel,Dealer,Manual,First Owner
Chevrolet Cruze LTZ AT,Diesel,Dealer,Automatic,First Owner
Honda City i-VTEC SV,Petrol,Dealer,Manual,First Owner
Volkswagen Polo 2015-2019 1.2 MPI Highline,Petrol,Dealer,Manual,First Owner
Tata Nexon 1.5 Revotorq XZ,Diesel,Dealer,Manual,First Owner
Hyundai EON Magna Plus,Petrol,Individual,Manual,First Owner
Tata Sumo Gold EX,Diesel,Individual,Manual,First Owner
Honda City i DTEC VX,Diesel,Individual,Manual,First Owner
Tata Indica DLE,Diesel,Individual,Manual,First Owner
Tata Indica DLS,Diesel,Individual,Manual,Second Owner
Tata Indigo LX,Diesel,Individual,Manual,Third Owner
Ford EcoSport 1.5 TDCi Titanium BSIV,Diesel,Dealer,Manual,First Owner
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,Petrol,Individual,Manual,First Owner
Honda City S,Petrol,Individual,Manual,Second Owner
Maruti Swift Dzire VDI,Diesel,Individual,Manual,First Owner
Mercedes-Benz New C-Class C 220 CDI Grand Edition,Diesel,Individual,Automatic,First Owner
Toyota Innova 2.5 VX 8 STR,Diesel,Individual,Manual,First Owner
Maruti Omni MPI STD BSIV,Petrol,Individual,Manual,First Owner
Maruti Alto LXi,Petrol,Individual,Manual,Third Owner
Tata Indica GLS BS IV,Petrol,Individual,Manual,First Owner
Maruti S-Cross Zeta DDiS 200 SH,Diesel,Individual,Manual,First Owner
Mahindra Xylo D4 BSIV,Diesel,Individual,Manual,Second Owner
Toyota Innova Crysta 2.5 VX BS IV,Diesel,Individual,Manual,First Owner
Hyundai Verna CRDi 1.6 AT SX Option,Diesel,Individual,Automatic,First Owner
Toyota Innova 2.5 V Diesel 7-seater,Diesel,Individual,Manual,First Owner
Maruti Swift Dzire VDI,Diesel,Individual,Manual,First Owner
Hyundai i20 Asta 1.2,Petrol,Individual,Manual,First Owner
Mahindra Scorpio S2 7 Seater,Diesel,Individual,Manual,First Owner
Hyundai i10 Magna 1.2 iTech SE,Petrol,Individual,Manual,Third Owner
Mahindra Bolero DI,Diesel,Individual,Manual,First Owner
Hyundai Grand i10 1.2 Kappa Sportz BSIV,Petrol,Individual,Manual,First Owner
Hyundai Santro Xing XS,Petrol,Individual,Manual,Second Owner
Chevrolet Beat Diesel LS,Diesel,Individual,Manual,First Owner
Mahindra Scorpio VLS AT 2.2 mHAWK,Diesel,Individual,Automatic,First Owner
Maruti Esteem VX,Petrol,Individual,Manual,Second Owner
Maruti Swift Vdi BSIII,Diesel,Individual,Manual,Second Owner
Honda Amaze S i-Dtech,Diesel,Individual,Manual,First Owner
Mahindra Scorpio VLS AT 2.2 mHAWK,Diesel,Individual,Automatic,Second Owner
Maruti Alto 800 LXI,Petrol,Individual,Manual,Second Owner
Maruti Alto LXi BSIII,Petrol,Individual,Manual,Second Owner
Datsun RediGO T Option,Petrol,Individual,Manual,First Owner
Hyundai Grand i10 CRDi Sportz,Diesel,Individual,Manual,First Owner
Hyundai Santro Xing XG AT,Petrol,Individual,Automatic,Second Owner
Skoda Yeti Ambition 4X2,Diesel,Individual,Manual,Second Owner
Hyundai Verna 1.6 SX,Diesel,Individual,Manual,Third Owner
Ford Ecosport 1.5 DV5 MT Titanium,Diesel,Individual,Manual,First Owner
Maruti Wagon R LXI CNG,CNG,Individual,Manual,Second Owner
Maruti Swift Dzire VXi,Petrol,Individual,Manual,Fourth & Above Owner
